"rid", "binaryID"
23967,1
23968,10
24348,11
23969,100
24353,101
24042,110
23970,1000
24015,1001
24343,1010
24352,1011
24039,1100
23875,10000
28587,10001
23174,10010
23144,10100
24351,10110
24038,11000
23876,100000
23971,100010
24592,100011
23175,100100
23143,101000
23146,101001
24055,101100
24026,110000
24040,110001
23877,1000000
23972,1000100
24337,1000101
23290,1000110
24342,1000111
23142,1010000
24045,1010010
24028,1100010
23878,10000000
23973,10001000
24338,10001001
24012,10001010
23885,10001100
24593,10001101
24148,10001110
24050,10100000
24046,10100100
24354,10100101
23879,100000000
23974,100010000
24339,100010001
24009,100010010
23886,100011000
23911,100011010
24049,101001000
24346,101001001
24345,101001010
23880,1000000000
24207,1000000001
23975,1000100000
24340,1000100001
24006,1000100010
24001,1000100100
23887,1000110000
24330,1000110001
23912,1000110100
24275,1000110101
24052,1010010000
24355,1010010010
24349,1010010100
23881,10000000000
23976,10001000000
24341,10001000001
24005,10001000010
23888,10001100000
24329,10001100001
22664,10001100010
23913,10001101000
23958,10001101001
24149,10001101010
24051,10100100000
22530,10100100100
24350,10100101000
23882,100000000000
23271,100010000000
23831,100010000001
24003,100010000010
23991,100010000100
23889,100011000000
24208,100011000001
24211,100011000010
22667,100011000100
23914,100011010000
24320,100011010001
23959,100011010010
22526,101001000000
22529,101001010000
22531,101001010001
23883,1000000000000
24062,1000100000000
24498,1000100000001
23832,1000100000010
24334,1000100000011
23890,1000110000000
24160,1000110000001
24294,1000110000010
24210,1000110000100
24217,1000110000101
23915,1000110100000
24156,1000110100001
22671,1000110100010
23960,1000110100100
24319,1000110100101
24357,1010010000000
22532,1010010100000
22533,1010010100010
23884,10000000000000
24270,10001000000000
24272,10001000000010
24497,10001000000011
23833,10001000000100
24335,10001000000101
23992,10001000000110
23891,10001100000000
24213,10001100000001
24290,10001100000010
24295,10001100000100
24220,10001100001010
23916,10001101000000
24289,10001101000010
22673,10001101001000
23961,10001101001001
22668,10001101001010
24057,10100101000100
24356,10100101000101
24194,100000000000000
24060,100010000000000
24059,100010000000100
23266,100010000000110
24500,100010000000111
23834,100010000001000
24336,100010000001001
23404,100010000001010
23399,100010000001100
23892,100011000000000
24083,100011000000001
24296,100011000000010
24206,100011000000100
24293,100011000001000
23917,100011010000000
24321,100011010000001
24159,100011010000100
24287,100011010010000
23962,100011010010010
24147,100011010010100
24056,101001010001000
24347,101001010001010
24146,1000100000001000
24273,1000100000001001
23152,1000100000001100
24493,1000100000001101
24423,1000100000001110
24499,1000100000001111
24400,1000100000010000
28588,1000100000010001
23402,1000100000010010
24058,1000100000010100
23893,1000110000000000
24221,1000110000000001
24084,1000110000000010
23918,1000110100000000
24224,1000110100000010
24286,1000110100100000
23963,1000110100100100
24232,1000110100100101
24358,1010010100010100
24154,10001000000010000
24279,10001000000010001
24143,10001000000010010
24471,10001000000011000
23274,10001000000011010
24467,10001000000011011
24466,10001000000011100
23153,10001000000011110
23265,10001000000011111
24448,10001000000100000
23835,10001000000100010
24333,10001000000100011
22537,10001000000100100
23894,10001100000000000
24610,10001100000000010
24085,10001100000000100
23919,10001101000000000
24163,10001101000000100
24158,10001101001000000
23964,10001101001001000
24227,10001101001001001
23990,10100101000101000
24288,100010000000100000
24278,100010000000100010
23273,100010000000110100
24205,100010000000110101
23147,100010000000110110
24472,100010000000111100
23148,100010000000111110
24596,100010000000111111
23836,100010000001000100
24361,100010000001000101
22540,100010000001000110
23895,100011000000000000
24170,100011000000000001
24297,100011000000000100
24086,100011000000001000
24231,100011000000001001
23920,100011010000000000
24164,100011010000000001
23965,100011010010010000
24216,100011010010010001
23989,101001010001010000
23997,101001010001010001
24161,1000100000001000000
24280,1000100000001000100
23166,1000100000001101000
23272,1000100000001101001
22670,1000100000001101010
24292,1000100000001101011
24468,1000100000001111100
24421,1000100000001111110
24494,1000100000001111111
24396,1000100000010001000
28589,1000100000010001001
24328,1000100000010001010
24344,1000100000010001011
22535,1000100000010001100
22536,1000100000010001101
23896,1000110000000000000
24172,1000110000000000001
24169,1000110000000000010
24230,1000110000000010010
24242,1000110000000010011
23921,1000110100000000000
24229,1000110100000000010
23966,1000110100100100000
24235,1000110100100100001
24215,1000110100100100010
23406,1010010100010100000
23409,1010010100010100001
23998,1010010100010100010
24153,10001000000010001000
24480,10001000000011010000
23149,10001000000011010010
22665,10001000000011010100
24285,10001000000011010101
24291,10001000000011010110
23151,10001000000011111000
24464,10001000000011111100
23280,10001000000011111110
24393,10001000000100010000
24442,10001000000100010001
23837,10001000000100010010
23844,10001000000100010011
23134,10001000000100010100
24036,10001000000100010110
24619,10001000000100010111
23136,10001000000100011000
24054,10001000000100011010
23897,10001100000000000000
24183,10001100000000000001
23922,10001101000000000000
24165,10001101000000000100
23400,10100101000101000000
23996,10100101000101000010
24281,100010000000100010000
24469,100010000000110100100
24283,100010000000110101000
24479,100010000000110101001
24284,100010000000110101010
24209,100010000000110101100
23154,100010000000111110000
23150,100010000000111111100
23279,100010000000111111101
24437,100010000001000100000
24441,100010000001000100010
24446,100010000001000100011
23838,100010000001000100100
24614,100010000001000100101
28758,100010000001000100110
23132,100010000001000101000
23137,100010000001000101001
24033,100010000001000101100
24037,100010000001000101110
23898,100011000000000000000
24180,100011000000000000001
23923,100011010000000000000
24318,100011010000000000001
24233,100011010000000001000
22674,1000100000001000100000
24282,1000100000001101010000
23165,1000100000001101010010
24225,1000100000001101010100
24238,1000100000001101010101
24470,1000100000001111111000
24484,1000100000001111111010
24496,1000100000001111111011
24440,1000100000010001000100
